age,duration,y
56,261,no
57,149,no
37,226,no
40,151,no
56,307,no
45,198,no
59,139,no
41,217,no
24,380,no
25,50,no
41,55,no
25,222,no
29,137,no
57,293,no
35,146,no
54,174,no
35,312,no
46,440,no
50,353,no
39,195,no
30,38,no
55,262,no
55,342,no
41,181,no
37,172,no
35,99,no
59,93,no
39,233,no
54,255,no
55,362,no
46,348,no
59,386,no
49,73,no
54,230,no
54,208,no
55,336,no
34,365,no
52,1666,no
41,577,no
56,137,no
58,366,no
32,314,no
38,160,no
57,212,no
44,188,no
42,22,no
57,616,no
40,178,no
35,355,no
45,225,no
54,160,no
39,266,no
60,253,no
53,179,no
55,269,no
55,135,no
50,161,no
45,787,no
55,145,no
25,174,no
47,449,no
51,812,no
42,164,no
42,366,no
48,357,no
37,232,no
44,91,no
33,273,no
56,158,no
44,177,no
41,200,no
44,172,no
47,176,no
57,211,no
37,214,no
41,1575,yes
55,349,no
33,337,no
55,272,no
42,208,no
50,193,no
51,212,no
38,165,no
49,1042,yes
38,20,no
31,246,no
41,529,no
39,192,no
49,1467,yes
34,188,no
35,180,no
57,48,no
60,213,no
33,545,no
42,583,no
45,221,no
42,426,no
53,287,no
37,197,no
44,257,no
54,229,no
49,55,no
54,400,no
52,197,no
52,190,no
43,21,no
34,300,no
35,123,no
42,293,no
43,325,no
60,514,no
58,849,no
35,194,no
55,212,no
37,337,no
36,286,no
52,247,no
57,518,no
56,364,no
48,178,no
40,98,no
49,439,no
41,139,no
45,79,no
32,175,no
42,262,no
50,61,no
31,78,no
56,102,no
41,579,yes
37,143,no
41,677,no
35,267,no
37,345,no
52,185,no
39,207,no
39,69,no
56,100,no
34,125,no
45,461,yes
43,240,no
56,70,no
39,193,no
53,136,no
38,73,no
42,528,no
42,541,no
35,338,no
40,163,no
51,87,no
60,301,no
56,46,no
39,52,no
56,204,no
40,155,no
36,98,no
51,71,no
51,243,no
43,186,no
59,579,no
24,165,no
37,163,no
40,46,no
42,559,no
39,2033,no
37,85,no
38,506,no
56,114,no
40,114,no
54,843,no
43,181,no
36,427,no
45,292,no
42,192,no
43,93,no
46,128,no
44,107,no
51,303,no
28,81,no
37,270,no
34,228,no
46,240,no
42,673,yes
36,233,no
54,102,no
57,461,no
51,250,no
54,130,no
49,252,no
34,138,no
41,412,no
38,179,no
